Wat1,Wat2 | Wat1,Wat2 | ...Ten times
start
0.0440, 0.0293, 66.67 | 0.0440, 0.0293, 66.67 | 0.0440, 0.0293, 66.67 | 0.0440, 0.0244, 55.56 | 0.0440, 0.0293, 66.67 | 0.0440, 0.0244, 55.56 | 0.0440, 0.0293, 66.67 | 0.0440, 0.0293, 66.67 | 0.0440, 0.0293, 66.67 | 0.0440, 0.0293, 66.67 | 5000
0.0391, 0.0293, 75.00 | 0.0440, 0.0244, 55.56 | 0.0391, 0.0244, 62.50 | 0.0440, 0.0244, 55.56 | 0.0391, 0.0244, 62.50 | 0.0391, 0.0244, 62.50 | 0.0391, 0.0293, 75.00 | 0.0391, 0.0293, 75.00 | 0.0391, 0.0293, 75.00 | 0.0391, 0.0196, 50.00 | 5100
0.0391, 0.0244, 62.50 | 0.0391, 0.0244, 62.50 | 0.0391, 0.0244, 62.50 | 0.0391, 0.0244, 62.50 | 0.0391, 0.0244, 62.50 | 0.0391, 0.0244, 62.50 | 0.0391, 0.0244, 62.50 | 0.0391, 0.0244, 62.50 | 0.0391, 0.0244, 62.50 | 0.0391, 0.0244, 62.50 | 5200
0.0391, 0.0244, 62.50 | 0.0391, 0.0196, 50.00 | 0.0391, 0.0244, 62.50 | 0.0391, 0.0244, 62.50 | 0.0391, 0.0244, 62.50 | 0.0587, 0.0244, 41.67 | 0.0391, 0.0244, 62.50 | 0.0391, 0.0244, 62.50 | 0.0391, 0.0244, 62.50 | 0.0391, 0.0196, 50.00 | 5300
0.0391, 0.0244, 62.50 | 0.0391, 0.0244, 62.50 | 0.0391, 0.0293, 75.00 | 0.0391, 0.0244, 62.50 | 0.0440, 0.0244, 55.56 | 0.0391, 0.0244, 62.50 | 0.0391, 0.0244, 62.50 | 0.0391, 0.0244, 62.50 | 0.0391, 0.0244, 62.50 | 0.0391, 0.0635, 162.50 | 5400
0.0440, 0.0293, 66.67 | 0.0391, 0.0293, 75.00 | 0.0391, 0.0244, 62.50 | 0.0391, 0.0244, 62.50 | 0.0391, 0.0244, 62.50 | 0.0391, 0.0147, 37.50 | 0.0391, 0.0244, 62.50 | 0.0391, 0.0244, 62.50 | 0.0391, 0.0244, 62.50 | 0.0391, 0.0244, 62.50 | 5500
0.0391, 0.0196, 50.00 | 0.0440, 0.0244, 55.56 | 0.0391, 0.0244, 62.50 | 0.0440, 0.0244, 55.56 | 0.0440, 0.0244, 55.56 | 0.0440, 0.0244, 55.56 | 0.0440, 0.0293, 66.67 | 0.0440, 0.0244, 55.56 | 0.0440, 0.0293, 66.67 | 0.0440, 0.0244, 55.56 | 5600
0.0391, 0.0293, 75.00 | 0.0440, 0.0342, 77.78 | 0.0391, 0.0342, 87.50 | 0.0391, 0.0342, 87.50 | 0.0391, 0.0342, 87.50 | 0.0391, 0.0342, 87.50 | 0.0391, 0.0342, 87.50 | 0.0391, 0.0342, 87.50 | 0.0391, 0.0342, 87.50 | 0.0391, 0.0342, 87.50 | 5700
0.0440, 0.0440, 100.00 | 0.0489, 0.0440, 90.00 | 0.0489, 0.0440, 90.00 | 0.0489, 0.0440, 90.00 | 0.0538, 0.0391, 72.73 | 0.0489, 0.0440, 90.00 | 0.0489, 0.0440, 90.00 | 0.0440, 0.0391, 88.89 | 0.0489, 0.0293, 60.00 | 0.0489, 0.0440, 90.00 | 5800
0.0587, 0.0440, 75.00 | 0.0587, 0.0440, 75.00 | 0.0587, 0.0440, 75.00 | 0.0635, 0.0440, 69.23 | 0.0587, 0.0440, 75.00 | 0.0587, 0.0440, 75.00 | 0.0587, 0.0440, 75.00 | 0.0587, 0.0440, 75.00 | 0.0587, 0.0147, 25.00 | 0.0587, 0.0440, 75.00 | 5900
